kernel [0];class [1];nclusters [2];master (s) [3];master relative stdev (%) [4];slave (s) [5];slave relative stdev (%) [6];comm (s) [7];comm relative stdev (%) [8];data sent (MB) [9];data received (MB) [10];power (W) [11];power relative stdev (%) [12];energy (J) [13];energy relative stdev (%) [14]
fn;large;2,8.38,0.0005361677232836054,485.76,1.170186457292854e-14,162.29,0.0008446257153697872,0.38,0.38,5.31,0.11295180722891995,2643.03,0.09040486413552776
fn;large;8,8.38,0.00019582348478238128,121.36,1.1710063795822328e-14,13.79,0.01559900673580343,0.38,0.38,7.67,0.07824726134585122,1039.18,0.0707418775859943
fn;large;1,8.38,0.00021434465937821354,972.44,0.0,486.38,0.00023763778859851433,0.38,0.38,4.81,0.7159654820676367,4727.21,0.7179897943489156
fn;large;16,8.38,0.0005044728865829781,60.67,1.1711407333275155e-14,3.73,0.14099403388496298,0.38,0.38,10.25,0.18742679980776794,794.79,0.1797264764086442
fn;large;4,8.38,0.00013101467663826535,242.77,1.1707336220666078e-14,48.87,0.0024774717599442314,0.38,0.38,6.18,0.7994312480147656,1580.65,0.8095608123325106
fn;standard;2,1.76,0.004918393477399682,242.53,2.3438083069791238e-14,81.09,0.0008951742472955295,0.19,0.19,5.29,0.2803855760716671,1309.76,0.2872378000774805
fn;standard;8,1.76,0.0012146232328267875,60.61,0.0,7.02,0.008704690509057,0.19,0.19,7.68,0.09113396693139166,518.74,0.06135473502086311
fn;standard;1,1.76,4.253458623883395e-05,485.28,1.1713558942844828e-14,242.8,0.0005629913162591278,0.19,0.19,4.75,0.6016367673582819,2325.1,0.5631547350123058
fn;standard;16,1.76,0.00476066304671186,30.3,1.1723752530150427e-14,1.93,0.8446126119843378,0.19,0.19,10.02,0.14840839320473384,406.08,0.15093289803202803
fn;standard;4,1.76,0.00020175928070401776,121.23,1.1721774567623274e-14,24.51,0.02688989249047015,0.19,0.19,6.21,0.5184754168631154,785.62,0.5209574464792086
fn;tiny;2,0.08,0.0017906197373588192,60.56,1.1731921519504692e-14,20.4,0.0046066980267991005,0.05,0.05,5.28,0.07578628268283952,335.41,0.06147035658901316
fn;tiny;8,0.08,0.009378166280888512,15.14,0.0,1.95,1.3344354081350418,0.05,0.05,7.14,0.1925721681589518,146.61,0.17129371031875024
fn;tiny;1,0.08,0.005196054651436922,121.14,1.1730573271408769e-14,60.73,0.0019889132164890777,0.05,0.05,4.93,0.22298803973241754,609.42,0.22340227822129502
fn;tiny;16,0.08,0.006837364423923147,7.57,1.1732738831502378e-14,0.6,1.7842036051350916,0.05,0.05,8.35,0.6109979633401226,129.65,0.6229427126652543
fn;tiny;4,0.08,0.006565999076913137,30.28,0.0,6.31,0.013425463796534998,0.05,0.05,6.02,1.185809153954447,208.03,1.1576514172083232
fn;small;2,0.32,0.0022886994920393736,121.17,1.1727638644744482e-14,40.61,0.0013099171377613029,0.09,0.09,5.3,0.13205055649877098,660.36,0.10656484161978338
fn;small;8,0.32,0.00146631716446713,30.29,2.3459237948474528e-14,3.63,0.727957216628525,0.09,0.09,7.52,0.11963312508308059,267.3,0.1311101036626679
fn;small;1,0.32,0.001972099248917415,242.4,1.172490263528606e-14,121.36,0.0008599963649120158,0.09,0.09,4.87,0.9387056793613853,1195.67,0.905123639931267
fn;small;16,0.32,0.0013887266806003808,15.14,0.0,1.05,0.02617373321818748,0.09,0.09,9.41,0.21891622668481353,221.44,0.22070335755894666
fn;small;4,0.32,0.0015546163698533881,60.58,1.1728986218306076e-14,12.37,0.006566382542043763,0.09,0.09,6.15,1.035219982320588,397.16,1.0339067255783434
fn;huge;2,35.32,0.0004153054333133712,974.38,0.0,325.65,0.000523639687247487,0.75,0.75,5.26,0.19844718701597583,5339.43,0.22904893593173556
fn;huge;8,35.32,0.0006145897575077414,243.25,1.1683995794098368e-14,27.39,0.09316674628305173,0.75,0.75,7.5,0.09980414475257032,2133.51,0.08798892766827986
fn;huge;1,35.32,0.0005203515967273865,1952.39,0.0,976.35,0.000101250670405482,0.75,0.75,4.76,0.6191725676531659,9480.45,0.6369463649308611
fn;huge;16,35.32,0.0005149371706680053,121.6,1.1686712599238052e-14,7.34,0.08686992973509552,0.75,0.75,9.84,0.20827135703169472,1628.87,0.20999022661495623
fn;huge;4,35.32,0.0003519560408071768,486.73,1.1678545648800788e-14,97.89,0.0008759190275070736,0.75,0.75,5.98,0.6994655850920366,3154.61,0.7043821663617954
fast;large;2,0.0,nan,11.53,1.540898863954383e-14,4.28,0.039740337606106096,256.0,351.95,4.51,0.14720926721506125,160.23,0.1625757311347845
fast;large;8,0.0,nan,2.88,1.540837915075467e-14,0.74,5.348670481702191,256.0,351.95,4.66,0.16051726240986106,133.1,0.14589745466574666
fast;large;1,0.0,nan,23.06,1.5409078195687474e-14,12.15,0.010085893210803604,256.0,351.95,4.47,0.10004778422818084,208.04,0.07866626714583237
fast;large;16,0.0,nan,1.44,0.0,0.96,8.748292781692683,256.0,351.96,4.84,0.2931041322877369,147.72,0.2928107873682716
fast;large;4,0.0,nan,5.76,0.0,1.59,1.698057542073172,256.0,351.95,4.59,0.16310625051324598,140.12,0.18133499815195064
fast;standard;2,0.0,nan,2.88,0.0,1.23,0.149833332246883,64.0,75.98,4.39,0.17038512690227925,50.66,0.22971317396737875
fast;standard;8,0.0,nan,0.72,0.0,0.46,6.203233296150924,64.0,75.98,4.57,0.5963350107995579,52.8,0.567259380768872
fast;standard;1,0.0,nan,5.76,1.540766546859342e-14,3.15,0.03792811593521536,64.0,75.98,4.35,0.2914904098426278,58.92,0.2833787184010371
