kernel [0];class [1];nclusters [2];master (s) [3];master relative stdev (%) [4];slave (s) [5];slave relative stdev (%) [6];comm (s) [7];comm relative stdev (%) [8];data sent (MB) [9];data received (MB) [10];power (W) [11];power relative stdev (%) [12];energy (J) [13];energy relative stdev (%) [14]
gf;standard;16;0.0;nan;9.16;1.9389764690911636e-14;10.19;0.8412791719664667;64.0;66.54;4.68;0.25702443071061704;105.7;0.21503179799976999
gf;large;1;0.0;nan;586.32;1.9389764690911636e-14;588.94;0.0001368565707666263;256.0;266.1;4.33;0.06926806742091747;2658.09;0.07063585637353587
gf;large;2;0.0;nan;293.16;1.9389764690911636e-14;295.01;0.001027882011484032;256.0;266.1;4.34;0.22565543461844;1387.55;0.18542980246425078
gf;large;4;0.0;nan;146.58;1.9389764690911636e-14;148.23;0.0025836249323856766;256.0;266.11;4.5;1.3864492700424;781.51;1.394130713538258
gf;large;8;0.0;nan;73.29;1.9389764690911636e-14;74.57;0.1991583739675377;256.0;266.11;4.6;0.10659224294095412;466.7;0.10490498294755497
gf;large;16;0.0;nan;36.65;1.9389764690911636e-14;37.86;0.32861139731701183;256.0;266.12;4.74;0.16466897904082833;320.45;0.17062259048845715
gf;huge;1;0.0;nan;4635.93;0.0;4645.53;6.422762422698281e-05;1024.0;1080.78;4.33;0.2065651711316159;20504.65;0.190924622151815
gf;huge;2;0.0;nan;2317.97;0.0;2323.59;0.00017871233822448258;1024.0;1080.78;4.33;0.09242144177448972;10446.15;0.0890129494833376
gf;huge;4;0.0;nan;1158.98;0.0;1162.81;0.00020681254542817535;1024.0;1080.79;4.35;0.22513692488816242;5459.22;0.2457462688127671
gf;huge;8;0.0;nan;579.49;0.0;582.27;0.0010559106216786781;1024.0;1080.8;4.59;0.3081075299287778;3096.52;0.3256364747530634
gf;huge;16;0.0;nan;289.75;0.0;291.81;0.04603197755281458;1024.0;1080.81;4.84;0.303781282693243;1870.15;0.25643633906519353
km;tiny;1;0.01;0.040008274156848066;46.11;0.0;46.43;0.003951697596760381;0.3;0.53;4.25;0.14881306636086175;206.47;0.1431423011019012
km;tiny;2;0.01;0.04364995484055588;23.03;0.0;23.67;0.005102108816462836;0.58;0.8;4.26;0.09394081728510839;113.05;0.10535233395933907
km;tiny;4;0.02;0.024095509852446823;11.49;0.0;12.47;0.03721666673528511;1.14;1.33;4.24;0.0;65.96;0.05957572534534864
km;tiny;8;0.03;0.007516265488609257;5.72;0.0;6.73;0.051036825924698846;2.27;2.39;4.37;1.0405695548878238;46.03;1.1077149166972853
km;tiny;16;0.05;0.010641426886841204;2.86;0.0;3.82;3.3258130929158782;4.53;4.52;4.5;0.7377108226392568;47.55;0.6779521584339434
km;small;1;0.01;0.015943106059972977;216.26;1.314233066297915e-14;216.59;0.00019405867111524136;0.7;1.16;4.25;0.2745269253693586;928.68;0.2837070233872526
km;small;2;0.02;0.04033095054581784;107.88;0.0;108.53;0.0017808678234704197;1.36;1.78;4.31;0.23683323332990242;475.88;0.19067778943100672
km;small;4;0.04;0.02181226187097102;53.91;0.0;54.89;0.011822906628099667;2.69;3.03;4.31;0.09276437847867046;248.25;0.10034740150381334
km;small;8;0.07;0.011000810865332738;26.92;0.0;27.95;0.01560446633837136;5.34;5.53;4.48;0.8415683436268176;146.04;0.8222561221867932
km;small;16;0.12;0.03204734229049144;13.43;1.3226052377901191e-14;14.42;0.7997692180305253;10.66;10.53;4.66;0.6837141763410208;100.51;0.6424100225936422
km;standard;1;0.05;0.009124121654031859;1427.49;0.0;1427.83;0.00024562954844107996;2.25;3.13;4.29;0.31648763337028907;6131.17;0.2900561496202118
km;standard;2;0.07;0.01706372180304515;713.25;0.0;713.92;0.00036426872393124617;4.45;5.19;4.31;0.11356002516380821;3091.37;0.07018721566733299
km;standard;4;0.12;0.006670929504203142;356.17;0.0;357.18;0.0008674194744443722;8.83;9.31;4.33;0.11303598259266848;1562.8;0.040123000588375965
km;standard;8;0.22;0.035641608650011126;177.98;0.0;178.93;0.08629855064933357;17.59;17.56;4.47;0.5177029026292573;820.82;0.48046633084415924
km;standard;16;0.4;0.003589392807333034;88.89;0.0;90.01;0.012207453308476205;35.13;34.06;4.71;0.6246042693029777;459.23;0.6424250972713177
km;large;2;0.07;0.012128636297697127;1297.76;0.0;1298.42;0.0001774007381582005;4.11;5.88;4.3;0.18587360594795144;5596.16;0.20064020583830267
km;large;4;0.12;0.04211948391356708;648.43;0.0;649.45;0.0008470044375141006;8.09;9.63;4.33;0.09233610341643389;2827.21;0.056183463979818576
km;large;8;0.2;0.008747914987814789;323.8;0.0;324.87;0.0007393197397971977;16.06;17.13;4.57;0.17520805957074528;1504.75;0.20755577273819395
km;large;16;0.37;0.00863925143843842;161.81;0.0;162.86;0.07619274229304912;32.0;32.13;4.78;0.5516899187901693;815.72;0.5790734327511486
km;huge;4;0.24;0.006063372283460513;2683.69;0.0;2684.74;9.438229961017817e-05;16.72;19.75;4.34;0.14572708111374708;11667.73;0.17403993038138293
km;huge;8;0.41;0.005618697334426981;1340.92;0.0;1342.07;0.00034329697885486125;33.19;35.25;4.56;0.815121614274247;6147.18;0.8084022097498826
km;huge;16;0.76;0.0019305901301356085;669.6;0.0;670.86;0.0005316750999098942;66.13;66.25;4.82;0.5410126477346566;3270.74;0.5926932831820789
lu;tiny;1;0.02;0.05500066749569077;0.56;0.0;7.72;0.028228844674390813;170.67;171.92;4.13;0.3213783711584693;43.59;0.3887086419409421
lu;tiny;2;0.02;0.03740918888917435;0.28;0.0;7.9;0.04206386431798927;170.67;171.92;4.14;0.2818246445067839;43.72;0.18158844791216622
lu;tiny;4;0.02;0.05071346789544623;0.14;0.0;8.41;0.06783078404048186;170.67;171.92;4.16;0.2881844380403397;48.17;0.27152402481869636
lu;tiny;8;0.02;0.041322984595100844;0.07;0.0;8.11;0.1058682900523065;170.67;171.92;4.29;0.11430190120313233;53.84;0.09615289082871133
lu;tiny;16;0.02;0.07720154693105137;0.04;0.0;7.22;0.012476886686572163;170.67;171.92;4.44;0.47243641809466047;64.68;0.40909727746622504
lu;small;1;0.08;0.018846349772497616;4.41;0.0;38.43;0.0036976503315727083;1365.33;1382.41;4.23;0.2317398053721104;175.76;0.23629216845548326
lu;small;2;0.08;0.029725579182230597;2.2;0.0;36.98;0.007464533268492057;1365.33;1382.41;4.24;0.2751747000870842;171.86;0.3136822952416806
lu;small;4;0.08;0.004997509159173081;1.1;0.0;36.55;0.012142397377443834;1365.33;1382.41;4.28;0.29553996824003903;169.33;0.22047797905447655
lu;small;8;0.08;0.019475407199386;0.55;0.0;36.05;0.3567763088259948;1365.33;1382.41;4.32;0.17314471942498863;175.29;0.16480961541859493
lu;small;16;0.08;0.023056869041597393;0.28;0.0;35.74;0.32154832318394166;1365.33;1382.41;4.44;0.8841981415116351;193.53;0.9079964978060631
lu;standard;1;0.2;0.006401942575878908;16.04;0.0;106.58;0.0020009278680754665;512.0;596.04;4.28;0.1867413632119547;477.92;0.2155395862446566
lu;standard;2;0.2;0.013336496997847327;8.02;0.0;99.64;0.0024579121744557294;512.0;596.04;4.29;0.2553485116574222;448.73;0.2864413348450909
lu;standard;4;0.2;0.006783252957146606;4.01;0.0;96.34;0.006847486678618999;512.0;596.04;4.31;0.18578727357175642;434.91;0.6270869099613263
lu;standard;8;0.2;0.00858945200906511;2.0;0.0;94.47;0.05833702428039236;512.0;596.04;4.33;0.11324501815918288;435.06;0.048091783001337464
lu;standard;16;0.2;0.004581208472125566;1.0;0.0;93.68;0.25641174467642813;512.0;596.04;4.39;0.4694769786131777;449.96;0.5159216267637482
lu;large;1;0.39;0.007386668034412298;40.22;0.0;226.66;0.0009590506942950745;1365.34;1102.09;4.23;0.7170567795793428;987.82;0.710700314037864
lu;large;2;0.39;0.0037333935404625005;20.11;0.0;208.01;0.0015019053348837008;1365.34;1102.09;4.3;0.4002943353672732;922.42;0.3451309041392792
lu;large;4;0.39;0.002725450776927606;10.06;0.0;198.6;0.059063258817655735;1365.34;1102.09;4.32;0.22690965658019527;887.77;0.1917237700087803
lu;large;8;0.39;0.0026066015628452978;5.03;0.0;193.78;0.0608400240806005;1365.34;1102.09;4.33;0.0;873.09;0.04056976951466197
lu;large;16;0.39;0.008233835104392098;2.51;0.0;191.67;0.07908171092520982;1365.34;1102.09;4.38;0.4913471539356292;888.27;0.4653192619390586
lu;huge;1;0.67;0.005679209419239062;80.29;0.0;411.73;0.0006582041383653294;853.33;1494.77;4.28;0.43294203993910685;1801.27;0.48777519496202015
lu;huge;2;0.66;0.006627653747763033;40.15;0.0;373.39;0.0009057744923852188;853.33;1494.77;4.3;0.3999221416570294;1644.85;0.3756841112616432
lu;huge;4;0.66;0.0034832690790611467;20.07;0.0;353.95;0.040228646852225575;853.33;1494.77;4.29;0.14742553194257865;1560.06;0.14850315546576617
lu;huge;8;0.67;0.004779377164641272;10.04;0.0;344.23;0.03431058495306098;853.33;1494.77;4.33;0.0;1535.77;0.03233892462217206
lu;huge;16;0.66;0.00676637382766959;5.02;0.0;339.8;0.04263464124557676;853.33;1494.77;4.42;0.4437481418085496;1560.75;0.41973918311005304
is;tiny;1;3.07;0.0008312414125991636;14.54;0.0;14.83;0.00012132769686521832;32.0;32.0;4.14;0.9106159393877005;85.25;0.9026616419312865
is;tiny;2;3.07;0.0002091469022938538;7.27;0.0;7.63;0.0001345424774322776;32.0;32.0;4.16;0.4137722591170077;56.43;0.42350057154485904
is;tiny;4;3.07;0.0007974971948258054;3.63;0.0;3.95;0.00043087191261255024;32.0;32.0;4.15;0.2639626783157449;43.8;0.28167650105354575
is;tiny;8;3.07;0.0006257237782776964;1.82;0.0;2.08;0.0006087258530096914;32.0;32.0;4.21;0.4351923736900195;40.3;0.345029890244031
